latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
32.04472,75.33832,340.25,0.43,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.2,3.5,D
32.06861,75.43452,339.43,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.63,3.89,D
32.07204,75.43369,349.1,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.35,15.19,D
32.07882,75.35919,342.22,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.47,5.89,D
31.82788,73.99001,344.34,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.29,3.96,D
32.10568,75.4913,345,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,313.24,10.33,D
32.08226,75.35836,338.57,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,313.01,31.56,D
31.84461,74.03818,333.49,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.74,1.43,D
31.80761,73.78262,334.48,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.06,2.93,D
32.14558,75.45409,347.84,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,312.37,5.26,D
31.89445,74.02018,335.28,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,305.86,3,D
31.89985,74.00832,339.13,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,305.36,4.65,D
31.89415,73.95724,349.55,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.85,7.67,D
31.88945,73.93206,347.34,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,311.14,13.18,D
31.90038,73.92924,338.9,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.13,4.45,D
32.21052,75.64449,338.19,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.43,6,D
31.93543,74.07755,339.8,0.47,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.11,2.46,D
31.91047,73.9425,339.96,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.76,3.66,D
31.94533,74.04897,341.88,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.37,3.66,D
31.90533,73.83234,345.89,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.55,3.42,D
31.94485,74.05125,336.69,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.79,2.91,D
31.90743,73.8342,342.99,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.4,8.08,D
31.90356,73.73337,334.32,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.69,1.46,D
31.91556,73.73564,344.96,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.89,3.78,D
32.23527,75.40584,332.69,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.68,1.74,D
32.00368,74.04141,340.91,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.99,3.96,D
31.99148,73.95554,345.28,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.19,3.12,D
32.25585,75.40088,334.64,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.69,1.14,D
32.00145,73.94771,339.63,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.21,3.6,D
32.03981,73.9936,335.86,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.07,3.35,D
32.07022,74.07436,341.96,0.47,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.39,4.22,D
32.00158,73.65202,334.61,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.6,2.85,D
31.99762,73.63133,339.19,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.61,3.41,D
32.33495,75.45294,337.24,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.82,2.77,D
32.08631,74.03907,336.98,0.47,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.64,1.1,D
32.34324,75.41871,343.28,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.29,6.64,D
32.34246,75.41429,345.6,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.33,7.57,D
32.08703,74.0024,333.53,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.52,1.56,D
32.09901,74.04622,335.51,0.47,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.97,1.48,D
32.01379,73.59442,335.37,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.05,3.81,D
32.3439,75.38163,338.03,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.48,3.25,D
32.34655,75.37637,340.07,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.4,3.01,D
32.02709,73.62363,338.7,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.31,3.08,D
32.36615,75.46844,341.59,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.39,2.91,D
32.04932,73.72061,341.02,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.27,2.51,D
32.04738,73.71034,349.11,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,312.22,11.05,D
32.03372,73.63821,336.65,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.93,4.81,D
32.05492,73.7299,339.33,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.12,3.18,D
32.03839,73.64243,341.94,0.49,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.17,4.66,D
32.05859,73.72896,336.69,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.01,3.18,D
32.03519,73.60519,333.28,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.68,4.06,D
32.03224,73.58961,343.9,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.44,4.67,D
32.05138,73.64988,339.36,0.49,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.06,3.43,D
32.37013,75.34755,337.56,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.75,2.47,D
32.36935,75.34309,332.97,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.44,1.48,D
