valid_time,u100,v100,u10,v10,tp,latitude,longitude
2023-09-11 06:00:00,-2.849228,-1.6536407,-2.269577,-1.384018,1.9073486e-05,28.5,77.25
2023-09-11 07:00:00,-3.0485535,-2.2066498,-2.4261932,-1.8192291,7.772446e-05,28.5,77.25
2023-09-11 08:00:00,-3.2845001,-2.9264984,-2.567978,-2.3428497,0.00068569183,28.5,77.25
2023-09-11 09:00:00,-3.7219696,-2.8517303,-2.9348297,-2.1844635,0.006439686,28.5,77.25
2023-09-11 10:00:00,-4.117325,-0.8643341,-2.9267426,-0.6628113,0.0008945465,28.5,77.25
2023-09-11 11:00:00,-2.7035522,-2.0423737,-1.7962799,-1.5138855,5.340576e-05,28.5,77.25
2023-09-11 12:00:00,-3.4669952,-2.1887207,-2.090805,-1.4248505,2.193451e-05,28.5,77.25
2023-09-11 13:00:00,-4.3978577,-1.0466614,-1.985611,-0.5827637,6.67572e-06,28.5,77.25
2023-09-11 14:00:00,-4.198578,-0.22257996,-1.6826477,-0.2836914,0.0,28.5,77.25
2023-09-11 15:00:00,-3.9412842,0.52397156,-1.5570221,0.050994873,0.0,28.5,77.25
2023-09-11 16:00:00,-3.8079681,1.3731842,-1.54599,0.44485474,0.0,28.5,77.25
2023-09-11 17:00:00,-3.2117157,1.8470917,-1.2425537,0.6281891,0.0,28.5,77.25
2023-09-11 18:00:00,-2.6110382,1.8397217,-1.1062775,0.5951996,0.0,28.5,77.25
2023-09-11 19:00:00,-2.2918396,1.3957214,-1.15242,0.38534546,0.0,28.5,77.25
2023-09-11 20:00:00,-2.3520203,1.2082367,-1.0491638,0.24198914,0.0,28.5,77.25
2023-09-11 21:00:00,-2.5976257,0.94532776,-1.1286469,0.099487305,0.0,28.5,77.25
2023-09-11 22:00:00,-3.386673,-0.4951477,-1.210495,-0.5129852,0.0,28.5,77.25
2023-09-11 23:00:00,-2.6523132,-0.5822754,-1.0030365,-0.77253723,0.0,28.5,77.25
2023-09-12 00:00:00,-2.5695953,-0.63912964,-1.038681,-0.85935974,0.0,28.5,77.25
2023-09-12 01:00:00,-2.4737854,0.38223267,-1.1026917,0.16107178,0.0,28.5,77.25
2023-09-12 02:00:00,-2.1935883,1.2637177,-0.9942627,0.7031555,0.0,28.5,77.25
2023-09-12 03:00:00,-1.4177551,1.023941,-1.0747986,0.8044739,0.0,28.5,77.25
2023-09-12 04:00:00,-1.8668213,1.01268,-1.5006104,0.8295593,0.0,28.5,77.25
2023-09-12 05:00:00,-2.1544342,0.68322754,-1.7504272,0.5746002,0.0,28.5,77.25
2023-09-12 06:00:00,-2.4306183,0.267807,-1.9931793,0.22570801,0.0,28.5,77.25
2023-09-12 07:00:00,-2.504776,-0.48532104,-2.0489044,-0.38250732,8.8214874e-05,28.5,77.25
2023-09-12 08:00:00,-2.191864,-1.0355682,-1.8121643,-0.81385803,3.2424927e-05,28.5,77.25
2023-09-12 09:00:00,-2.0673523,-0.89349365,-1.7029877,-0.6855469,4.7683716e-07,28.5,77.25
2023-09-12 10:00:00,-1.4720001,-2.103592,-1.2592316,-1.5886383,0.0,28.5,77.25
2023-09-12 11:00:00,-2.3438873,-0.4599762,-1.7962799,-0.33992004,9.536743e-07,28.5,77.25
2023-09-12 12:00:00,-1.3917084,-0.093826294,-0.95669556,0.017852783,0.0,28.5,77.25
2023-09-12 13:00:00,-1.0364075,-0.013946533,-0.6203003,-0.10273743,0.0,28.5,77.25
2023-09-12 14:00:00,-0.4760437,0.11543274,0.0023956299,-0.047943115,0.0,28.5,77.25
2023-09-12 15:00:00,0.23550415,0.48806763,0.7119293,0.21669006,0.0,28.5,77.25
2023-09-12 16:00:00,0.87905884,0.77108765,0.947464,0.35514832,0.0,28.5,77.25
2023-09-12 17:00:00,0.96481323,1.3439941,0.8251343,0.8791046,0.0,28.5,77.25
2023-09-12 18:00:00,0.73043823,2.2246094,0.3500824,1.106781,0.0,28.5,77.25
2023-09-12 19:00:00,1.2215576,2.7768707,0.61146545,1.2409363,0.0017585754,28.5,77.25
2023-09-12 20:00:00,0.25642395,2.3429718,-0.11227417,1.2329865,0.0,28.5,77.25
2023-09-12 21:00:00,-0.53874207,2.1856842,-0.61680603,0.7988281,0.0,28.5,77.25
2023-09-12 22:00:00,-0.25505066,3.3660889,-0.29148865,1.5805511,0.0,28.5,77.25
2023-09-12 23:00:00,0.024810791,1.5660858,-0.48840332,-0.04093933,0.0,28.5,77.25
2023-09-13 00:00:00,-1.0549469,-0.6576996,-0.7447357,-0.85572815,0.0,28.5,77.25
2023-09-13 01:00:00,-1.4544067,0.8210602,-1.0448303,0.25448608,0.0,28.5,77.25
2023-09-13 02:00:00,-2.2037354,1.3316956,-1.4447479,0.5222168,0.0,28.5,77.25
2023-09-13 03:00:00,-1.8139954,0.6203003,-1.4454651,0.40402222,0.0,28.5,77.25
2023-09-13 04:00:00,-1.7370605,0.015716553,-1.4382019,-0.026657104,3.194809e-05,28.5,77.25
2023-09-13 05:00:00,-1.8296661,-0.10920715,-1.5150452,-0.121780396,7.915497e-05,28.5,77.25
2023-09-13 06:00:00,-1.9625092,-0.10014343,-1.6216431,-0.10147095,6.771088e-05,28.5,77.25
2023-09-13 07:00:00,-1.8327179,0.14239502,-1.5232544,0.11112976,6.818771e-05,28.5,77.25
2023-09-13 08:00:00,-1.4754791,0.43899536,-1.2353516,0.36003113,2.3841858e-05,28.5,77.25
2023-09-13 09:00:00,-1.1460419,0.6696167,-0.9575958,0.5767975,1.9073486e-05,28.5,77.25
2023-09-13 10:00:00,-2.082306,0.93496704,-1.6631927,0.7797241,3.8146973e-06,28.5,77.25
2023-09-13 11:00:00,-1.596878,1.1546631,-1.2422028,0.95751953,1.001358e-05,28.5,77.25
2023-09-13 12:00:00,-1.3289642,1.330307,-0.78227234,0.7251129,3.4809113e-05,28.5,77.25
2023-09-13 13:00:00,-1.3360596,0.88056946,-1.278717,0.54499817,4.529953e-05,28.5,77.25
2023-09-13 14:00:00,-1.3561554,1.7715607,-1.0324402,1.2555237,1.04904175e-05,28.5,77.25
2023-09-13 15:00:00,-1.1437988,3.8078766,-0.5019226,1.8640747,0.0,28.5,77.25
2023-09-13 16:00:00,-0.68844604,4.899811,-0.3078308,2.1660156,0.0,28.5,77.25
2023-09-13 17:00:00,-0.7287445,4.815155,-0.48910522,2.0084991,0.0,28.5,77.25
2023-09-13 18:00:00,-0.9395294,4.70401,-0.6442261,1.9513245,0.0,28.5,77.25
2023-09-13 19:00:00,-0.72998047,4.6184845,-0.55436707,1.8961029,0.0,28.5,77.25
2023-09-13 20:00:00,-0.13887024,4.124481,-0.22460938,1.5392761,0.0,28.5,77.25
2023-09-13 21:00:00,0.52793884,3.0300903,0.112854004,1.6513214,0.0,28.5,77.25
2023-09-13 22:00:00,-0.7406769,2.6584625,-0.8045502,1.3995056,4.7683716e-07,28.5,77.25
2023-09-13 23:00:00,0.39620972,3.102417,0.06149292,1.238678,0.0,28.5,77.25
2023-09-14 00:00:00,-0.36924744,0.7984314,-0.67318726,-0.09812927,7.390976e-05,28.5,77.25
2023-09-14 01:00:00,-3.1544037,-2.3255615,-1.737854,-1.8612976,0.0010375977,28.5,77.25
2023-09-14 02:00:00,-3.5424957,-0.2965393,-1.9657135,-0.23179626,5.2928925e-05,28.5,77.25
2023-09-14 03:00:00,-3.4066772,-0.5348511,-2.5302582,-0.48272705,9.536743e-07,28.5,77.25
2023-09-14 04:00:00,-3.291687,-0.131073,-2.5873108,-0.12451172,0.0,28.5,77.25
2023-09-14 05:00:00,-3.6069946,1.190506,-2.861908,0.9139099,0.0,28.5,77.25
2023-09-14 06:00:00,-3.474533,1.1325989,-2.776062,0.8765869,7.247925e-05,28.5,77.25
2023-09-14 07:00:00,-3.0625,1.4901123,-2.44635,1.2003784,6.6280365e-05,28.5,77.25
2023-09-14 08:00:00,-2.7778015,1.4542999,-2.220047,1.1680298,1.6212463e-05,28.5,77.25
2023-09-14 09:00:00,-2.2740784,1.6342926,-1.830658,1.3236542,7.6293945e-06,28.5,77.25
2023-09-14 10:00:00,-1.7154999,0.8494568,-1.4281616,0.7090912,2.861023e-06,28.5,77.25
2023-09-14 11:00:00,-1.4245758,0.37660217,-1.1264801,0.30566406,0.0,28.5,77.25
2023-09-14 12:00:00,-2.3348694,0.3095398,-1.0744934,0.13668823,0.0,28.5,77.25
2023-09-14 13:00:00,-2.5014648,1.1669769,-1.6976013,0.8535156,0.0,28.5,77.25
2023-09-14 14:00:00,-2.331009,2.1425934,-1.3256073,1.2078247,0.0,28.5,77.25
2023-09-14 15:00:00,-2.2637634,1.6366119,-1.737381,0.35714722,0.0,28.5,77.25
2023-09-14 16:00:00,-3.3485565,3.1334534,-1.6012268,1.3843536,0.0,28.5,77.25
2023-09-14 17:00:00,-3.0457,4.20903,-1.2114716,1.7523346,0.0,28.5,77.25
2023-09-14 18:00:00,-3.2177887,4.0963287,-1.472702,1.6181488,0.0,28.5,77.25
2023-09-14 19:00:00,-3.4769135,3.7187042,-1.6572876,1.3892212,0.0,28.5,77.25
2023-09-14 20:00:00,-2.7941132,4.0240326,-1.3934479,1.6547241,0.0,28.5,77.25
2023-09-14 21:00:00,-1.2303314,4.941391,-0.65849304,2.3334503,0.0,28.5,77.25
2023-09-14 22:00:00,-0.35469055,4.6268616,-0.42845154,1.5138702,0.0,28.5,77.25
2023-09-14 23:00:00,0.38487244,1.5480194,-0.21488953,-0.50445557,9.536743e-07,28.5,77.25
